faculty,phase,term,gender,race,grade,count
4,1a,Fall 2015,men,black,W,2
4,1a,Fall 2015,men,hispanic,A,1
4,1a,Fall 2015,men,hispanic,B,1
4,1a,Fall 2015,men,hispanic,D,2
4,1a,Fall 2015,men,hispanic,F,1
4,1a,Fall 2015,men,hispanic,W,1
4,1a,Fall 2015,men,nonURM,A,3
4,1a,Fall 2015,men,nonURM,B,3
4,1a,Fall 2015,men,nonURM,C,5
4,1a,Fall 2015,men,nonURM,D,3
4,1a,Fall 2015,men,nonURM,F,5
4,1a,Fall 2015,men,nonURM,W,4
4,1a,Fall 2015,women,black,B,1
4,1a,Fall 2015,women,black,F,1
4,1a,Fall 2015,women,hispanic,D,1
4,1a,Fall 2015,women,hispanic,W,1
4,1a,Fall 2015,women,nonURM,A,2
4,1a,Fall 2015,women,nonURM,C,1
4,1a,Fall 2015,women,nonURM,W,1
4,1b,Spring 2016,men,black,B,2
4,1b,Spring 2016,men,black,D,2
4,1b,Spring 2016,men,black,F,5
4,1b,Spring 2016,men,black,W,4
4,1b,Spring 2016,men,hispanic,B,2
4,1b,Spring 2016,men,hispanic,C,3
4,1b,Spring 2016,men,hispanic,D,1
4,1b,Spring 2016,men,nonURM,A,1
4,1b,Spring 2016,men,nonURM,B,4
4,1b,Spring 2016,men,nonURM,C,3
4,1b,Spring 2016,men,nonURM,D,2
4,1b,Spring 2016,men,nonURM,F,1
4,1b,Spring 2016,men,nonURM,W,6
4,1b,Spring 2016,women,black,D,2
4,1b,Spring 2016,women,black,W,2
4,1b,Spring 2016,women,hispanic,B,1
4,1b,Spring 2016,women,hispanic,D,2
4,1b,Spring 2016,women,nonURM,A,1
4,1b,Spring 2016,women,nonURM,C,1
4,1b,Spring 2016,women,nonURM,D,1
4,2a,Fall 2017,men,black,B,2
4,2a,Fall 2017,men,black,C,1
4,2a,Fall 2017,men,black,D,6
4,2a,Fall 2017,men,black,F,1
4,2a,Fall 2017,men,black,W,1
4,2a,Fall 2017,men,hispanic,C,1
4,2a,Fall 2017,men,hispanic,D,1
4,2a,Fall 2017,men,hispanic,W,3
4,2a,Fall 2017,men,nonURM,A,1
4,2a,Fall 2017,men,nonURM,B,3
4,2a,Fall 2017,men,nonURM,C,1
4,2a,Fall 2017,men,nonURM,D,1
4,2a,Fall 2017,men,nonURM,F,3
4,2a,Fall 2017,men,nonURM,W,3
4,2a,Fall 2017,women,black,C,1
4,2a,Fall 2017,women,hispanic,A,1
4,2a,Fall 2017,women,hispanic,D,1
4,2a,Fall 2017,women,nonURM,B,1
4,3a,Spring 2018,men,amerind,W,1
4,3a,Spring 2018,men,black,D,1
4,3a,Spring 2018,men,black,F,3
4,3a,Spring 2018,men,black,W,1
4,3a,Spring 2018,men,hispanic,C,1
4,3a,Spring 2018,men,nonURM,A,1
4,3a,Spring 2018,men,nonURM,B,1
4,3a,Spring 2018,men,nonURM,C,2
